风机型号,风筒板厚,风机编码,叶片数,叶轮材料费,叶轮工时,风筒重量,风筒工时,配对法兰重量,配对法兰工时,标准件核定,减震器,填料函,包装核定,防护网,接线盒,支撑板
CZ-30,4.5,2CZ0030A0101,6,50,1,17.86,2,2.4,6,25,70,85,30,,80,55
CZ-30,8,,6,50,3,29.15,4,2.4,8,25,70,85,30,,80,55
CZ-30,10,,6,50,5,36.4,6,2.4,10,25,70,85,30,,80,55
CZ-35,4.5,2CZ0035A0903,6,50,7,22.66,8,2.7,12,50,70,100,30,,80,55
CZ-35,8,2cz0035a0101,6,50,9,37.3,10,2.7,14,50,70,100,30,,80,55
CZ-35,10,,6,50,11,46.6,12,2.7,16,50,70,100,30,,80,55
CZ-40,4.5,2CZ0040A0314,6,60,13,28.02,14,3.1,18,50,70,100,40,,80,72
CZ-40,10,2CZ0040A0101,6,60,15,57.42,16,3.1,20,50,70,100,40,,80,72
CZ-45,4.5,2CZ0045B0101,6,90,17,35,18,6,22,55,76,,40,,,75
CZ-45,10,,6,90,19,70,20,6,24,55,76,,40,,,75
CZ-50,4.5,2CZ0050A0403,6,100,21,42.23,22,6.2,26,55,76,160,50,,110,80
CZ-50,10,2CZ0050B0101,6,100,23,81.03,24,6.2,28,55,76,160,50,,110,80
CZ-60,4.5,2CZ006000301,9,120,25,50.4,26,7.3,30,110,76,160,75,,110,96
CZ-60,10,,9,120,27,96.71,28,7.3,32,110,76,160,75,,110,96
CZ-70,4.5,2CZ0070A0302,9,150,29,100,30,8.4,34,110,112,,75,,150,120
CZ-70,10,,9,150,31,138.49,32,8.4,36,110,112,,75,,150,120
CZ-75,6,2CZ007500601,9,220,33,101.18,34,12.1,38,110,168,135,,,180,140
CZ-75,10,2CZ007500104,9,220,35,151.93,36,12.1,40,110,168,135,,,180,140
CZ-80,6,2CZ0080A1301,12,270,37,117.24,38,12.9,42,220,168,135,,,180,160
CZ-80,10,,12,270,39,177.71,40,12.9,44,220,168,135,,,180,160
CZ-90,6,2CZ0090B0701,6,450,41,150,42,14.4,46,220,188,,,,360,160
CZ-90,10,,6,450,43,250,44,14.4,48,220,188,,,,360,160
CZ-100,6,2CZ0100A0203,8,590,45,200,46,15.9,50,,188,,,,360,
CZ-100,10,,8,590,47,300,48,15.9,52,,188,,,,360,
CZ-110,6,2CZ0110A0401,6,540,49,300,50,17.3,54,,232,,,,420,
CZ-110,10,,6,540,51,500,52,17.3,56,,232,,,,420,
CZ-120,8,2CZ0120B0501,8,700,53,400,54,24.3,58,,232,,,,420,
CZ-120,10,,8,700,55,500,56,24.3,60,,232,,,,420,
CZ-140,8,2CZ0140A0301,8,1000,57,500,58,32.1,62,,,,,,420,
CZ-140,10,,8,1000,59,600,60,32.1,64,,,,,,420,
